Mã PKKH,Mô tả Phân Khúc Khách hàng,Mã mặt hàng,Tên mặt hàng,percentage
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN01,Bánh gạo lứt nguyên hạt,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN02,Bánh Biscotti,0.53
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN03,Bánh chuối yến mạch,0.27
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN04,Bánh điều ngũ cốc,0.36
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN05,Bánh mì hoa cúc pháp,0.27
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.36
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.05
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC02,Ngũ cốc Navan,0.05
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.05
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.2
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.26
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.3
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",GVK01,Đường hộp ăn kiêng,0.43
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",GVK02,Bơ đậu phộng Skippy,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HDD01,Granola,0.79
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HDD02,Hạt hạnh nhân,0.28
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HDD03,Hạt chia Úc,0.45
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS01,Nho khô 3 màu,0.21
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS02,Chà là nguyên cành,0.11
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS03,Khoai dẻo không đường,0.34
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS04,Táo đỏ khô Hàn Quốc,0.33
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.1
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.16
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG03,Sữa nghệ Amilac Milk Organic,0.11
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.24
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG05,Sữa gạo Hàn Quốc,0.34
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK01,Miến rau câu keto,0.21
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK02,Bún gạo lứt,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK03,Yến mạch,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK05,Bún ngũ sắc,0.35
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK06,Nui ngũ sắc Fuma,0.38
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK06,Phở gạo lứt,0.38
A2,"Người đi làm tại gia, nội trợ",BAN01,Bánh gạo lứt nguyên hạt,0.08
A2,"Người đi làm tại gia, nội trợ",BAN02,Bánh Biscotti,0.14
A2,"Người đi làm tại gia, nội trợ",BAN03,Bánh chuối yến mạch,0.08
A2,"Người đi làm tại gia, nội trợ",BAN04,Bánh điều ngũ cốc,0.07
A2,"Người đi làm tại gia, nội trợ",BAN05,Bánh mì hoa cúc pháp,0.15
A2,"Người đi làm tại gia, nội trợ",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.22
A2,"Người đi làm tại gia, nội trợ",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.04
A2,"Người đi làm tại gia, nội trợ",BNC02,Ngũ cốc Navan,0.04
A2,"Người đi làm tại gia, nội trợ",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.14
A2,"Người đi làm tại gia, nội trợ",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.13
A2,"Người đi làm tại gia, nội trợ",BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.25
A2,"Người đi làm tại gia, nội trợ",BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.26
A2,"Người đi làm tại gia, nội trợ",GVK01,Đường hộp ăn kiêng,0.32
A2,"Người đi làm tại gia, nội trợ",GVK02,Bơ đậu phộng Skippy,0.09
A2,"Người đi làm tại gia, nội trợ",HDD01,Granola,0.37
A2,"Người đi làm tại gia, nội trợ",HDD02,Hạt hạnh nhân,0.24
A2,"Người đi làm tại gia, nội trợ",HDD03,Hạt chia Úc,0.03
A2,"Người đi làm tại gia, nội trợ",HQS01,Nho khô 3 màu,0.17
A2,"Người đi làm tại gia, nội trợ",HQS02,Chà là nguyên cành,0.17
A2,"Người đi làm tại gia, nội trợ",HQS03,Khoai dẻo không đường,0.14
A2,"Người đi làm tại gia, nội trợ",HQS04,Táo đỏ khô Hàn Quốc,0.09
A2,"Người đi làm tại gia, nội trợ",SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.26
A2,"Người đi làm tại gia, nội trợ",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.3
A2,"Người đi làm tại gia, nội trợ",SOG03,Sữa nghệ Amilac Milk Organic,0.04
A2,"Người đi làm tại gia, nội trợ",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.11
A2,"Người đi làm tại gia, nội trợ",SOG05,Sữa gạo Hàn Quốc,0.1
A2,"Người đi làm tại gia, nội trợ",TPK01,Miến rau câu keto,0.41
A2,"Người đi làm tại gia, nội trợ",TPK02,Bún gạo lứt,0.36
A2,"Người đi làm tại gia, nội trợ",TPK03,Yến mạch,0.19
A2,"Người đi làm tại gia, nội trợ",TPK05,Bún ngũ sắc,0.47
A2,"Người đi làm tại gia, nội trợ",TPK06,Nui ngũ sắc Fuma,0.42
A2,"Người đi làm tại gia, nội trợ",TPK06,Phở gạo lứt,0.42
A3,Mẹ bỉm sữa,BAN01,Bánh gạo lứt nguyên hạt,0.03
A3,Mẹ bỉm sữa,BAN02,Bánh Biscotti,0.16
A3,Mẹ bỉm sữa,BAN03,Bánh chuối yến mạch,0.02
A3,Mẹ bỉm sữa,BAN04,Bánh điều ngũ cốc,0.17
A3,Mẹ bỉm sữa,BAN05,Bánh mì hoa cúc pháp,0.12
A3,Mẹ bỉm sữa,BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.08
A3,Mẹ bỉm sữa,BNC01,Bột ngũ cốc hàn quốc Damtuh,0.23
A3,Mẹ bỉm sữa,BNC02,Ngũ cốc Navan,0.03
A3,Mẹ bỉm sữa,BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.05
A3,Mẹ bỉm sữa,BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.03
A3,Mẹ bỉm sữa,BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.11
A3,Mẹ bỉm sữa,BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.12
A3,Mẹ bỉm sữa,GVK01,Đường hộp ăn kiêng,0.14
A3,Mẹ bỉm sữa,GVK02,Bơ đậu phộng Skippy,0.06
A3,Mẹ bỉm sữa,HDD01,Granola,0.32
A3,Mẹ bỉm sữa,HDD02,Hạt hạnh nhân,0.2
A3,Mẹ bỉm sữa,HDD03,Hạt chia Úc,0.02
A3,Mẹ bỉm sữa,HQS01,Nho khô 3 màu,0.14
A3,Mẹ bỉm sữa,HQS02,Chà là nguyên cành,0.16
A3,Mẹ bỉm sữa,HQS03,Khoai dẻo không đường,0.09
A3,Mẹ bỉm sữa,HQS04,Táo đỏ khô Hàn Quốc,0.07
A3,Mẹ bỉm sữa,SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.04
A3,Mẹ bỉm sữa,SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.05
A3,Mẹ bỉm sữa,SOG03,Sữa nghệ Amilac Milk Organic,0.37
A3,Mẹ bỉm sữa,SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.04
A3,Mẹ bỉm sữa,SOG05,Sữa gạo Hàn Quốc,0.16
A3,Mẹ bỉm sữa,TPK01,Miến rau câu keto,0.46
A3,Mẹ bỉm sữa,TPK02,Bún gạo lứt,0.26
A3,Mẹ bỉm sữa,TPK03,Yến mạch,0.08
A3,Mẹ bỉm sữa,TPK05,Bún ngũ sắc,0.47
A3,Mẹ bỉm sữa,TPK06,Nui ngũ sắc Fuma,0.26
A3,Mẹ bỉm sữa,TPK06,Phở gạo lứt,0.26
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BAN01,Bánh gạo lứt nguyên hạt,0.07
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BAN02,Bánh Biscotti,0.19
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BAN03,Bánh chuối yến mạch,0.09
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BAN04,Bánh điều ngũ cốc,0.08
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BAN05,Bánh mì hoa cúc pháp,0.17
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.09
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.03
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BNC02,Ngũ cốc Navan,0.0
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.0
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.0
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.03
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.03
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",GVK01,Đường hộp ăn kiêng,0.09
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",GVK02,Bơ đậu phộng Skippy,0.02
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HDD01,Granola,0.54
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HDD02,Hạt hạnh nhân,0.04
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HDD03,Hạt chia Úc,0.09
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HQS01,Nho khô 3 màu,0.15
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HQS02,Chà là nguyên cành,0.08
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HQS03,Khoai dẻo không đường,0.23
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",HQS04,Táo đỏ khô Hàn Quốc,0.23
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.1
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.26
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",SOG03,Sữa nghệ Amilac Milk Organic,0.07
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.16
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",SOG05,Sữa gạo Hàn Quốc,0.13
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",TPK01,Miến rau câu keto,0.22
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",TPK02,Bún gạo lứt,0.3
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",TPK03,Yến mạch,0.13
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",TPK05,Bún ngũ sắc,0.23
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",TPK06,Nui ngũ sắc Fuma,0.2
B1,"Nhân viên văn phòng, công việc tự do (Chưa kết hôn)",TPK06,Phở gạo lứt,0.2
B2,"Học sinh, sinh viên",BAN01,Bánh gạo lứt nguyên hạt,0.1
B2,"Học sinh, sinh viên",BAN02,Bánh Biscotti,0.1
B2,"Học sinh, sinh viên",BAN03,Bánh chuối yến mạch,0.01
B2,"Học sinh, sinh viên",BAN04,Bánh điều ngũ cốc,0.02
B2,"Học sinh, sinh viên",BAN05,Bánh mì hoa cúc pháp,0.11
B2,"Học sinh, sinh viên",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.02
B2,"Học sinh, sinh viên",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.0
B2,"Học sinh, sinh viên",BNC02,Ngũ cốc Navan,0.0
B2,"Học sinh, sinh viên",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.0
B2,"Học sinh, sinh viên",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.0
B2,"Học sinh, sinh viên",BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.0
B2,"Học sinh, sinh viên",BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.0
B2,"Học sinh, sinh viên",GVK01,Đường hộp ăn kiêng,0.03
B2,"Học sinh, sinh viên",GVK02,Bơ đậu phộng Skippy,0.01
B2,"Học sinh, sinh viên",HDD01,Granola,0.58
B2,"Học sinh, sinh viên",HDD02,Hạt hạnh nhân,0.03
B2,"Học sinh, sinh viên",HDD03,Hạt chia Úc,0.03
B2,"Học sinh, sinh viên",HQS01,Nho khô 3 màu,0.09
B2,"Học sinh, sinh viên",HQS02,Chà là nguyên cành,0.03
B2,"Học sinh, sinh viên",HQS03,Khoai dẻo không đường,0.17
B2,"Học sinh, sinh viên",HQS04,Táo đỏ khô Hàn Quốc,0.16
B2,"Học sinh, sinh viên",SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.13
B2,"Học sinh, sinh viên",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.15
B2,"Học sinh, sinh viên",SOG03,Sữa nghệ Amilac Milk Organic,0.02
B2,"Học sinh, sinh viên",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.04
B2,"Học sinh, sinh viên",SOG05,Sữa gạo Hàn Quốc,0.06
B2,"Học sinh, sinh viên",TPK01,Miến rau câu keto,0.06
B2,"Học sinh, sinh viên",TPK02,Bún gạo lứt,0.11
B2,"Học sinh, sinh viên",TPK03,Yến mạch,0.13
B2,"Học sinh, sinh viên",TPK05,Bún ngũ sắc,0.06
B2,"Học sinh, sinh viên",TPK06,Nui ngũ sắc Fuma,0.03
B2,"Học sinh, sinh viên",TPK06,Phở gạo lứt,0.03
